ClientNr,Vestiging,Leeftijd,Geslacht,Lengte,Gewicht
2705429679271370000,Maastricht,63,Vrouw,NULL,NULL
2202311309927690000,Roermond,51,Man,NULL,NULL
-3481326442981650000,Sittard-Geleen,58,Man,NULL,NULL
4593388913078740000,Maastricht,52,Man,NULL,NULL
-7030968736433100000,Maastricht,53,Vrouw,NULL,NULL
4964015206393390000,Eindhoven,52,Man,NULL,NULL
6174712152157390000,Maastricht,28,Vrouw,NULL,NULL
5282124344217090000,Heerlen,48,Vrouw,NULL,NULL
-8909976627193010000,Heerlen,37,Man,NULL,NULL
-968256904792491000,Maastricht,41,Vrouw,NULL,NULL
5873599398656440000,Maastricht,55,Vrouw,NULL,NULL
2620610972450960000,Maastricht,48,Vrouw,NULL,NULL
2364936459917190000,Sittard-Geleen,57,Man,NULL,NULL
6369273730677800000,Eindhoven,31,Vrouw,NULL,NULL
2980347897463400000,Sittard-Geleen,54,Vrouw,NULL,NULL
-418386294525289000,Eindhoven,46,Man,NULL,NULL
-5012016144317660000,Eindhoven,30,Vrouw,NULL,NULL
-5978264006708480000,Sittard-Geleen,28,Vrouw,NULL,NULL
524490964219904000,Heerlen,55,Vrouw,NULL,NULL
7837444189084540000,Roermond,28,Vrouw,NULL,NULL
3277307339739290000,Eindhoven,26,Vrouw,NULL,NULL
2087729882903890000,Heerlen,39,Man,NULL,NULL
-1972643514373080000,Maastricht,56,Vrouw,NULL,NULL
-6317984977940670000,Maastricht,46,Vrouw,NULL,NULL
-3134969987546760000,Roermond,43,Man,NULL,NULL
3660130033154660000,Roermond,44,Man,NULL,NULL
-2108992889667320000,Maastricht,25,Vrouw,NULL,NULL
4411308402231710000,Heerlen,34,Man,NULL,NULL
-6033198342060290000,Maastricht,60,Man,NULL,NULL
3765090344013470000,Sittard-Geleen,40,Vrouw,NULL,NULL
-8039973572889780000,Eindhoven,43,Vrouw,NULL,NULL
-2928002550183460000,Sittard-Geleen,51,Man,NULL,NULL
8990786409739420000,Heerlen,48,Vrouw,NULL,NULL
3383965617688810000,Maastricht,60,Man,NULL,NULL
3845724567460440000,Eindhoven,30,Vrouw,NULL,NULL
-279558937836616000,Heerlen,19,Vrouw,NULL,NULL
3851506412753920000,Roermond,56,Vrouw,NULL,NULL
-8942761940420430000,Roermond,55,Man,NULL,NULL
3287494000332710000,Sittard-Geleen,32,Vrouw,NULL,NULL
-2495865724947140000,Maastricht,26,Vrouw,NULL,NULL
5836849164738670000,Maastricht,53,Vrouw,NULL,NULL
2118119035554120000,Maastricht,46,Vrouw,NULL,NULL
1015064699910410000,Maastricht,53,Vrouw,NULL,NULL
3569990869927660000,Eindhoven,30,Vrouw,NULL,NULL
-692211267774081000,Eindhoven,38,Vrouw,NULL,NULL
-165708177026624000,Maastricht,36,Man,NULL,NULL
-6150256269416440000,Sittard-Geleen,40,Man,NULL,NULL
-5160070473151820000,Sittard-Geleen,35,Vrouw,NULL,NULL
-440214212195830000,Eindhoven,37,Vrouw,NULL,NULL
-6752041787416730000,Maastricht,63,Man,NULL,NULL
-2178311480554790000,Sittard-Geleen,46,Man,NULL,NULL
-4457823131208450000,Heerlen,42,Vrouw,NULL,NULL
3339009726873450000,Sittard-Geleen,45,Man,NULL,NULL
-7155285304464220000,Roermond,61,Man,NULL,NULL
-6915116373325800000,Heerlen,34,Vrouw,NULL,NULL
-4349466190202480000,Heerlen,53,Vrouw,NULL,NULL
6428267404220360000,Roermond,22,Vrouw,NULL,NULL
3410186651888800000,Roermond,44,Vrouw,NULL,NULL
-599755887772490000,Sittard-Geleen,49,Vrouw,NULL,NULL
7685872185719430000,Eindhoven,50,Man,NULL,NULL
1503246776852900000,Roermond,39,Vrouw,NULL,NULL
-7319589758468990000,Heerlen,45,Vrouw,NULL,NULL
5145372035812910000,Maastricht,62,Vrouw,NULL,NULL
-8526042190679420000,Eindhoven,39,Vrouw,NULL,NULL
3107259509978720000,Maastricht,57,Vrouw,NULL,NULL
8582227937693840000,Eindhoven,40,Vrouw,NULL,NULL
-6674241169008330000,Maastricht,44,Vrouw,NULL,NULL
-9040733209456430000,Maastricht,37,Vrouw,NULL,NULL
-2711433645816200000,Heerlen,59,Man,NULL,NULL
4105389017291600000,Sittard-Geleen,30,Man,NULL,NULL
-8398149941316010000,Roermond,68,Vrouw,NULL,NULL
8553137924351500000,Sittard-Geleen,51,Vrouw,NULL,NULL
451687581395398000,Sittard-Geleen,39,Man,NULL,NULL
-6697091640817600000,Roermond,48,Vrouw,NULL,NULL
-2569277280685300000,Roermond,54,Man,NULL,NULL
-9105519194521490000,Maastricht,44,Vrouw,NULL,NULL
7951673394073550000,Roermond,21,Man,NULL,NULL
8894273220003810000,Sittard-Geleen,27,Vrouw,NULL,NULL
-7546604801453330000,Sittard-Geleen,28,Vrouw,NULL,NULL
6160482160354880000,Heerlen,21,Vrouw,NULL,NULL
-5203737930732690000,Maastricht,39,Vrouw,NULL,NULL
-4052327832962390000,Eindhoven,26,Vrouw,NULL,NULL
4640588827651380000,Sittard-Geleen,48,Vrouw,NULL,NULL
8964667521070510000,Roermond,54,Man,NULL,NULL
-7518776749687480000,Maastricht,28,Vrouw,NULL,NULL
4000409115547610000,Maastricht,59,Man,NULL,NULL
-7487789646044230000,Roermond,38,Vrouw,NULL,NULL
-221417741321007000,Roermond,34,Vrouw,NULL,NULL
6808295113753380000,Heerlen,59,Vrouw,NULL,NULL
8453550142989300000,Heerlen,63,Vrouw,NULL,NULL
-3533128347374270000,Heerlen,50,Vrouw,NULL,NULL
452186489451930000,Roermond,59,Man,NULL,NULL
-1639658460641330000,Maastricht,45,Vrouw,NULL,NULL
-8654813353731660000,Maastricht,35,Vrouw,NULL,NULL
-5612431553057040000,Eindhoven,49,Vrouw,NULL,NULL
5204138972509220000,Roermond,46,Vrouw,NULL,NULL
-1103543470948840000,Roermond,50,Vrouw,NULL,NULL
7879019322185990000,Heerlen,53,Man,NULL,NULL
-6779835913852490000,Roermond,27,Vrouw,NULL,NULL
2951827648508280000,Heerlen,58,Vrouw,NULL,NULL
-3114982968897960000,Heerlen,49,Man,NULL,NULL
-5906073465172140000,Heerlen,43,Man,NULL,NULL
5072808823686900000,Eindhoven,25,Man,NULL,NULL
-5055337305806230000,Maastricht,20,Vrouw,NULL,NULL
